Source;Target;Type;Id;timeset
428;412;Undirected;0;<[0]>
428;449;Undirected;1;<[0]>
428;434;Undirected;2;<[0]>
428;474;Undirected;3;<[0]>
428;418;Undirected;4;<[0]>
428;402;Undirected;5;<[0]>
428;426;Undirected;6;<[0]>
428;429;Undirected;7;<[0]>
428;433;Undirected;8;<[0]>
428;442;Undirected;9;<[0]>
428;424;Undirected;10;<[0]>
428;460;Undirected;11;<[0]>
428;447;Undirected;12;<[0]>
428;479;Undirected;13;<[0]>
428;406;Undirected;14;<[0]>
428;468;Undirected;15;<[0]>
428;405;Undirected;16;<[0]>
428;425;Undirected;17;<[0]>
428;471;Undirected;18;<[0]>
428;431;Undirected;19;<[0]>
428;448;Undirected;20;<[0]>
428;37;Undirected;21;<[0]>
428;151;Undirected;22;<[0]>
428;64;Undirected;23;<[0]>
428;765;Undirected;24;<[0]>
428;703;Undirected;25;<[0]>
428;10;Undirected;26;<[0]>
428;24;Undirected;27;<[0]>
428;569;Undirected;28;<[0]>
428;22;Undirected;29;<[0]>
428;285;Undirected;30;<[0]>
428;79;Undirected;31;<[0]>
428;744;Undirected;32;<[0]>
428;860;Undirected;33;<[0]>
428;177;Undirected;34;<[0]>
428;226;Undirected;35;<[0]>
428;869;Undirected;36;<[0]>
428;684;Undirected;37;<[0]>
428;911;Undirected;38;<[0]>
959;976;Undirected;39;<[0]>
959;832;Undirected;40;<[0]>
959;936;Undirected;41;<[0]>
959;887;Undirected;42;<[0]>
959;835;Undirected;43;<[0]>
959;857;Undirected;44;<[0]>
959;830;Undirected;45;<[0]>
959;845;Undirected;46;<[0]>
959;974;Undirected;47;<[0]>
959;858;Undirected;48;<[0]>
959;927;Undirected;49;<[0]>
959;903;Undirected;50;<[0]>
959;893;Undirected;51;<[0]>
959;978;Undirected;52;<[0]>
959;128;Undirected;53;<[0]>
959;718;Undirected;54;<[0]>
959;519;Undirected;55;<[0]>
959;166;Undirected;56;<[0]>
959;726;Undirected;57;<[0]>
959;164;Undirected;58;<[0]>
959;768;Undirected;59;<[0]>
959;27;Undirected;60;<[0]>
959;647;Undirected;61;<[0]>
959;483;Undirected;62;<[0]>
959;129;Undirected;63;<[0]>
959;482;Undirected;64;<[0]>
959;3;Undirected;65;<[0]>
959;178;Undirected;66;<[0]>
959;611;Undirected;67;<[0]>
959;335;Undirected;68;<[0]>
1;4;Undirected;69;<[0]>
1;7;Undirected;70;<[0]>
1;17;Undirected;71;<[0]>
1;12;Undirected;72;<[0]>
1;25;Undirected;73;<[0]>
1;3;Undirected;74;<[0]>
1;14;Undirected;75;<[0]>
1;28;Undirected;76;<[0]>
1;5;Undirected;77;<[0]>
1;11;Undirected;78;<[0]>
1;31;Undirected;79;<[0]>
1;2;Undirected;80;<[0]>
1;13;Undirected;81;<[0]>
1;22;Undirected;82;<[0]>
1;168;Undirected;83;<[0]>
1;611;Undirected;84;<[0]>
1;312;Undirected;85;<[0]>
1;429;Undirected;86;<[0]>
1;178;Undirected;87;<[0]>
1;327;Undirected;88;<[0]>
1;279;Undirected;89;<[0]>
1;59;Undirected;90;<[0]>
1;765;Undirected;91;<[0]>
1;818;Undirected;92;<[0]>
1;232;Undirected;93;<[0]>
1;472;Undirected;94;<[0]>
1;78;Undirected;95;<[0]>
1;452;Undirected;96;<[0]>
1;614;Undirected;97;<[0]>
250;262;Undirected;98;<[0]>
250;279;Undirected;99;<[0]>
250;269;Undirected;100;<[0]>
250;312;Undirected;101;<[0]>
250;251;Undirected;102;<[0]>
250;247;Undirected;103;<[0]>
250;304;Undirected;104;<[0]>
250;298;Undirected;105;<[0]>
250;300;Undirected;106;<[0]>
250;276;Undirected;107;<[0]>
250;294;Undirected;108;<[0]>
250;274;Undirected;109;<[0]>
250;305;Undirected;110;<[0]>
250;254;Undirected;111;<[0]>
250;302;Undirected;112;<[0]>
250;738;Undirected;113;<[0]>
250;567;Undirected;114;<[0]>
250;704;Undirected;115;<[0]>
250;61;Undirected;116;<[0]>
250;560;Undirected;117;<[0]>
250;242;Undirected;118;<[0]>
250;338;Undirected;119;<[0]>
250;142;Undirected;120;<[0]>
250;393;Undirected;121;<[0]>
250;534;Undirected;122;<[0]>
250;217;Undirected;123;<[0]>
250;323;Undirected;124;<[0]>
250;585;Undirected;125;<[0]>
250;373;Undirected;126;<[0]>
250;937;Undirected;127;<[0]>
320;345;Undirected;128;<[0]>
320;332;Undirected;129;<[0]>
320;360;Undirected;130;<[0]>
320;331;Undirected;131;<[0]>
320;334;Undirected;132;<[0]>
320;376;Undirected;133;<[0]>
320;357;Undirected;134;<[0]>
320;344;Undirected;135;<[0]>
320;329;Undirected;136;<[0]>
320;358;Undirected;137;<[0]>
320;361;Undirected;138;<[0]>
320;346;Undirected;139;<[0]>
320;371;Undirected;140;<[0]>
320;375;Undirected;141;<[0]>
320;335;Undirected;142;<[0]>
320;368;Undirected;143;<[0]>
320;338;Undirected;144;<[0]>
320;330;Undirected;145;<[0]>
320;374;Undirected;146;<[0]>
320;324;Undirected;147;<[0]>
