Source;Target;Type;Id;timeset
163;155;Undirected;0;<[0]>
163;151;Undirected;1;<[0]>
163;169;Undirected;2;<[0]>
163;153;Undirected;3;<[0]>
163;171;Undirected;4;<[0]>
163;158;Undirected;5;<[0]>
163;164;Undirected;6;<[0]>
163;197;Undirected;7;<[0]>
163;123;Undirected;8;<[0]>
163;63;Undirected;9;<[0]>
163;1;Undirected;10;<[0]>
163;47;Undirected;11;<[0]>
163;176;Undirected;12;<[0]>
163;122;Undirected;13;<[0]>
163;175;Undirected;14;<[0]>
163;133;Undirected;15;<[0]>
40;35;Undirected;16;<[0]>
40;39;Undirected;17;<[0]>
40;44;Undirected;18;<[0]>
40;36;Undirected;19;<[0]>
40;38;Undirected;20;<[0]>
40;43;Undirected;21;<[0]>
40;37;Undirected;22;<[0]>
40;42;Undirected;23;<[0]>
40;45;Undirected;24;<[0]>
40;20;Undirected;25;<[0]>
40;197;Undirected;26;<[0]>
40;161;Undirected;27;<[0]>
40;158;Undirected;28;<[0]>
40;97;Undirected;29;<[0]>
40;137;Undirected;30;<[0]>
40;187;Undirected;31;<[0]>
40;6;Undirected;32;<[0]>
41;35;Undirected;33;<[0]>
41;39;Undirected;34;<[0]>
41;44;Undirected;35;<[0]>
41;36;Undirected;36;<[0]>
41;108;Undirected;37;<[0]>
41;158;Undirected;38;<[0]>
41;16;Undirected;39;<[0]>
41;174;Undirected;40;<[0]>
41;197;Undirected;41;<[0]>
41;104;Undirected;42;<[0]>
41;152;Undirected;43;<[0]>
41;6;Undirected;44;<[0]>
78;65;Undirected;45;<[0]>
78;67;Undirected;46;<[0]>
78;76;Undirected;47;<[0]>
78;74;Undirected;48;<[0]>
78;75;Undirected;49;<[0]>
78;79;Undirected;50;<[0]>
78;80;Undirected;51;<[0]>
78;20;Undirected;52;<[0]>
78;176;Undirected;53;<[0]>
78;97;Undirected;54;<[0]>
78;95;Undirected;55;<[0]>
78;137;Undirected;56;<[0]>
78;120;Undirected;57;<[0]>
78;147;Undirected;58;<[0]>
78;125;Undirected;59;<[0]>
91;96;Undirected;60;<[0]>
91;100;Undirected;61;<[0]>
91;109;Undirected;62;<[0]>
91;42;Undirected;63;<[0]>
91;146;Undirected;64;<[0]>
91;149;Undirected;65;<[0]>
91;184;Undirected;66;<[0]>
91;20;Undirected;67;<[0]>
91;66;Undirected;68;<[0]>
91;136;Undirected;69;<[0]>
109;112;Undirected;70;<[0]>
109;102;Undirected;71;<[0]>
109;105;Undirected;72;<[0]>
109;101;Undirected;73;<[0]>
109;108;Undirected;74;<[0]>
109;113;Undirected;75;<[0]>
109;115;Undirected;76;<[0]>
109;103;Undirected;77;<[0]>
109;116;Undirected;78;<[0]>
109;118;Undirected;79;<[0]>
109;111;Undirected;80;<[0]>
109;104;Undirected;81;<[0]>
109;117;Undirected;82;<[0]>
109;91;Undirected;83;<[0]>
109;176;Undirected;84;<[0]>
109;90;Undirected;85;<[0]>
109;1;Undirected;86;<[0]>
109;162;Undirected;87;<[0]>
109;20;Undirected;88;<[0]>
109;25;Undirected;89;<[0]>
109;27;Undirected;90;<[0]>
158;155;Undirected;91;<[0]>
158;163;Undirected;92;<[0]>
158;165;Undirected;93;<[0]>
158;153;Undirected;94;<[0]>
158;161;Undirected;95;<[0]>
