id;Label;Community;timeset
1;1;<[0,1],[1,1],[2,9],[3,9],[4,9],[5,9]>;<[0],[1],[2],[3],[4],[5]>
2;2;<[0,1],[1,1],[2,8],[3,8],[4,8],[5,8]>;<[0],[1],[2],[3],[4],[5]>
3;3;<[0,1],[1,1],[2,9]>;<[0],[1],[2]>
4;4;<[0,1],[1,6],[2,37],[3,37],[4,54],[5,54]>;<[0],[1],[2],[3],[4],[5]>
5;5;<[0,1],[1,1],[2,8],[3,8],[4,8],[5,8]>;<[0],[1],[2],[3],[4],[5]>
6;6;<[0,1],[1,1],[2,8],[3,8],[4,8]>;<[0],[1],[2],[3],[4]>
7;7;<[0,1],[1,1]>;<[0],[1]>
8;8;<[0,1],[1,1],[2,8],[3,3],[4,3],[5,3]>;<[0],[1],[2],[3],[4],[5]>
9;9;<[0,1],[1,1],[2,9],[3,9],[4,9],[5,9]>;<[0],[1],[2],[3],[4],[5]>
10;10;<[0,1],[1,1]>;<[0],[1]>
11;11;<[0,1],[1,1],[2,8],[3,3],[4,3],[5,3]>;<[0],[1],[2],[3],[4],[5]>
12;12;<[0,1],[1,1]>;<[0],[1]>
13;13;<[0,1],[1,1],[2,8],[3,3],[4,3]>;<[0],[1],[2],[3],[4]>
14;14;<[0,1]>;<[0]>
15;15;<[0,1],[1,1],[2,8],[3,8],[4,8],[5,8]>;<[0],[1],[2],[3],[4],[5]>
16;16;<[0,1],[1,1]>;<[0],[1]>
17;17;<[0,1],[1,1],[2,8],[3,8]>;<[0],[1],[2],[3]>
18;18;<[0,1],[1,1],[2,8],[3,8]>;<[0],[1],[2],[3]>
19;19;<[0,1],[1,1],[2,9],[3,9],[4,9],[5,9]>;<[0],[1],[2],[3],[4],[5]>
20;20;<[0,1],[1,1],[2,8],[3,8],[4,8],[5,8]>;<[0],[1],[2],[3],[4],[5]>
21;21;<[0,1],[1,1],[2,8],[3,8],[4,8],[5,8]>;<[0],[1],[2],[3],[4],[5]>
22;22;<[0,1]>;<[0]>
23;23;<[0,1],[1,1],[2,8],[3,8],[4,8],[5,8]>;<[0],[1],[2],[3],[4],[5]>
24;24;<[0,1],[1,1],[2,8],[3,8],[4,8]>;<[0],[1],[2],[3],[4]>
25;25;<[0,1]>;<[0]>
26;26;<[0,1],[1,1],[2,9],[3,9],[4,9]>;<[0],[1],[2],[3],[4]>
27;27;<[0,1],[1,1],[2,8],[3,8]>;<[0],[1],[2],[3]>
28;28;<[0,1],[1,1]>;<[0],[1]>
29;29;<[0,1],[1,1],[2,9],[3,9],[4,9],[5,9]>;<[0],[1],[2],[3],[4],[5]>
30;30;<[0,1],[1,1]>;<[0],[1]>
31;31;<[0,1],[1,1],[2,9],[3,9],[4,9],[5,9]>;<[0],[1],[2],[3],[4],[5]>
32;32;<[0,2],[1,2],[2,37],[3,37],[4,54],[5,35]>;<[0],[1],[2],[3],[4],[5]>
33;33;<[0,2],[1,2],[2,37],[3,37],[4,54],[5,54]>;<[0],[1],[2],[3],[4],[5]>
34;34;<[0,2],[1,2],[2,37],[3,37],[4,62]>;<[0],[1],[2],[3],[4]>
35;35;<[0,2],[1,2],[2,37],[3,37],[4,62],[5,62]>;<[0],[1],[2],[3],[4],[5]>
36;36;<[0,2],[1,2],[2,37],[3,37],[4,62],[5,62]>;<[0],[1],[2],[3],[4],[5]>
37;37;<[0,2]>;<[0]>
38;38;<[0,2],[1,2],[2,37],[3,37],[4,62],[5,62]>;<[0],[1],[2],[3],[4],[5]>
39;39;<[0,2],[1,2],[2,37],[3,37],[4,62],[5,62]>;<[0],[1],[2],[3],[4],[5]>
40;40;<[0,2],[1,2],[2,37],[3,37],[4,54],[5,54]>;<[0],[1],[2],[3],[4],[5]>
41;41;<[0,2],[1,2],[2,37],[3,37],[4,62],[5,62]>;<[0],[1],[2],[3],[4],[5]>
42;42;<[0,2],[1,2],[2,37],[3,37],[4,62],[5,62]>;<[0],[1],[2],[3],[4],[5]>
43;43;<[0,2],[1,2],[2,37],[3,37],[4,62],[5,62]>;<[0],[1],[2],[3],[4],[5]>
44;44;<[0,2],[1,2],[2,37],[3,37],[4,62],[5,62]>;<[0],[1],[2],[3],[4],[5]>
45;45;<[0,2],[1,2],[2,37],[3,37]>;<[0],[1],[2],[3]>
46;46;<[0,2],[1,2],[2,37],[3,37],[4,54],[5,54]>;<[0],[1],[2],[3],[4],[5]>
47;47;<[0,2],[1,2]>;<[0],[1]>
48;48;<[0,2],[1,2],[2,37],[3,37],[4,62],[5,62]>;<[0],[1],[2],[3],[4],[5]>
49;49;<[0,2],[1,2],[2,37],[3,37],[4,62],[5,62]>;<[0],[1],[2],[3],[4],[5]>
50;50;<[0,2],[1,2],[2,37],[3,37],[4,54],[5,54]>;<[0],[1],[2],[3],[4],[5]>
51;51;<[0,2],[1,2],[2,37],[3,37],[4,54],[5,54]>;<[0],[1],[2],[3],[4],[5]>
52;52;<[0,2],[1,2],[2,37],[3,37],[4,62],[5,62]>;<[0],[1],[2],[3],[4],[5]>
53;53;<[0,2],[1,2],[2,37],[3,37],[4,62],[5,62]>;<[0],[1],[2],[3],[4],[5]>
54;54;<[0,2],[1,2],[2,37],[3,37],[4,62],[5,62]>;<[0],[1],[2],[3],[4],[5]>
55;55;<[0,2],[1,2],[2,37],[3,37],[4,62],[5,62]>;<[0],[1],[2],[3],[4],[5]>
56;56;<[0,2],[1,2],[2,37],[3,37],[4,62],[5,62]>;<[0],[1],[2],[3],[4],[5]>
57;57;<[0,2]>;<[0]>
58;58;<[0,2],[1,2],[2,37]>;<[0],[1],[2]>
59;59;<[0,2],[1,2],[2,37],[3,37],[4,62],[5,62]>;<[0],[1],[2],[3],[4],[5]>
60;60;<[0,2],[1,2],[2,37],[3,37],[4,62],[5,62]>;<[0],[1],[2],[3],[4],[5]>
61;61;<[0,2],[1,2],[2,37],[3,37],[4,62],[5,62]>;<[0],[1],[2],[3],[4],[5]>
62;62;<[0,2],[1,2],[2,37],[3,37],[4,62]>;<[0],[1],[2],[3],[4]>
63;63;<[0,2]>;<[0]>
64;64;<[0,2],[1,2],[2,37],[3,37],[4,62],[5,62]>;<[0],[1],[2],[3],[4],[5]>
65;65;<[0,2],[1,2],[2,37],[3,37],[4,62]>;<[0],[1],[2],[3],[4]>
66;66;<[0,3],[1,3],[2,3],[3,3],[4,3],[5,3]>;<[0],[1],[2],[3],[4],[5]>
67;67;<[0,3],[1,3],[2,3],[3,3],[4,3],[5,3]>;<[0],[1],[2],[3],[4],[5]>
68;68;<[0,3],[1,3],[2,3]>;<[0],[1],[2]>
69;69;<[0,3]>;<[0]>
70;70;<[0,3],[1,3],[2,3],[3,3],[4,3],[5,3]>;<[0],[1],[2],[3],[4],[5]>
71;71;<[0,3],[1,3],[2,4],[3,4],[4,4],[5,4]>;<[0],[1],[2],[3],[4],[5]>
72;72;<[0,3],[1,3],[2,3]>;<[0],[1],[2]>
73;73;<[0,3],[1,3],[2,3],[3,3],[4,3],[5,3]>;<[0],[1],[2],[3],[4],[5]>
74;74;<[0,3],[1,3]>;<[0],[1]>
75;75;<[0,3],[1,3],[2,3],[3,3],[4,3],[5,3]>;<[0],[1],[2],[3],[4],[5]>
76;76;<[0,3],[1,3],[2,3],[3,3],[4,3],[5,3]>;<[0],[1],[2],[3],[4],[5]>
77;77;<[0,3],[1,3],[2,3],[3,3],[4,3],[5,3]>;<[0],[1],[2],[3],[4],[5]>
78;78;<[0,3],[1,3],[2,3],[3,3]>;<[0],[1],[2],[3]>
79;79;<[0,3],[1,3],[2,3],[3,3],[4,3],[5,44]>;<[0],[1],[2],[3],[4],[5]>
80;80;<[0,3],[1,3],[2,3],[3,3],[4,3],[5,3]>;<[0],[1],[2],[3],[4],[5]>
81;81;<[0,3],[1,3],[2,3],[3,3],[4,3],[5,3]>;<[0],[1],[2],[3],[4],[5]>
82;82;<[0,3],[1,3],[2,3],[3,3],[4,51],[5,51]>;<[0],[1],[2],[3],[4],[5]>
83;83;<[0,3],[1,3]>;<[0],[1]>
84;84;<[0,3],[1,3]>;<[0],[1]>
85;85;<[0,3],[1,3],[2,3],[3,3],[4,3],[5,44]>;<[0],[1],[2],[3],[4],[5]>
86;86;<[0,3],[1,3]>;<[0],[1]>
87;87;<[0,3],[1,3],[2,3],[3,3],[4,3],[5,44]>;<[0],[1],[2],[3],[4],[5]>
